wave,item_id,title,target_path,status,done_gate,notes
60,W60-001,Create GitHub minimal personal project protocol,Plan/Instructions/Operations/GITHUB_MINIMAL_PERSONAL_PROJECT_PROTOCOL.md,complete,git_initialized_initial_commit_pushed_and_verified,Git metadata initialized and origin main verified after push. Evidence: Plan/Instructions/QA/Evidence/Git_Verification/W59_W60_GIT_RECOVERY_INITIAL_COMMIT_20260706T010603-0500.json.
60,W60-002,Create AWS EC2 GPU server start/stop protocol,Plan/Instructions/Operations/AWS_EC2_GPU_SERVER_START_STOP_PROTOCOL.md,complete,aws_identity_ec2_volume_state_validated_no_start,AWS account EC2 instance and EBS volume identity validated. EC2 remained stopped. Evidence: Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_W61_RUNTIME_READINESS_PREFLIGHT_20260706T012301-0500.json and Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_W61_RUNTIME_READINESS_PREFLIGHT_20260706T012301-0500.md.
60,W60-003,Create local-to-EC2 sync protocol,Plan/Instructions/Operations/LOCAL_TO_EC2_SYNC_PROTOCOL.md,complete,ec2_project_checkout_synced_git_lfs_verified,EC2 project checkout synced to /home/ubuntu/Comfy_UI_Main with Git LFS and matching HEAD. Evidence: Plan/Instructions/QA/Evidence/EC2_Project_Sync/W60_W61_EC2_PROJECT_SYNC_20260706T015022-0500.json.
60,W60-004,Create EC2-to-local artifact pullback protocol,Plan/Instructions/Operations/EC2_TO_LOCAL_ARTIFACT_PULLBACK_PROTOCOL.md,completed_static_pack,file_exists_and_contains_artifact_manifest_pullback_done_gate,Defines evidence pullback after GPU runs.
60,W60-005,Create Civitai API operating protocol,Plan/Instructions/Operations/CIVITAI_API_OPERATING_PROTOCOL.md,complete,civitai_authenticated_metadata_check_passed,Civitai key presence and small metadata endpoint validated. No downloads performed. Evidence: Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_W61_RUNTIME_READINESS_PREFLIGHT_20260706T012301-0500.json and Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_W61_RUNTIME_READINESS_PREFLIGHT_20260706T012301-0500.md.
60,W60-006,Create model download registry protocol,Plan/Instructions/Operations/MODEL_DOWNLOAD_AND_REGISTRY_UPDATE_PROTOCOL.md,completed_static_pack,file_exists_and_contains_registry_fields_duplicate_runtime_queue,Defines registry and duplicate-prevention workflow.
60,W60-007,Create model metadata lookup protocol,Plan/Instructions/Operations/MODEL_METADATA_LOOKUP_PROTOCOL.md,completed_static_pack,file_exists_and_contains_candidate_comparison_base_normalization,Defines model research and candidate selection rules.
60,W60-008,Create model storage compatibility protocol,Plan/Instructions/Operations/MODEL_STORAGE_AND_COMPATIBILITY_PROTOCOL.md,completed_static_pack,file_exists_and_contains_engine_compatibility_matrix,Local ComfyUI model folders are absent in C:\Comfy_UI_Main. EC2 path and model folder discovery required before model movement. Evidence: Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_W61_RUNTIME_READINESS_PREFLIGHT_20260706T012301-0500.json.
60,W60-009,Create secrets env handling protocol,.env.example; .gitignore; Plan/Instructions/Operations/SECRETS_ENV_HANDLING_PROTOCOL.md,complete,secret_guard_files_created_env_ignored_and_untracked,Created root .gitignore and .env.example; .env ignored and untracked after Git initialization. Evidence: Plan/Instructions/QA/Evidence/Git_Verification/W59_W60_GIT_RECOVERY_INITIAL_COMMIT_20260706T010603-0500.json.
60,W60-010,Create operations helper scripts,Plan/Instructions/Operations/Scripts,complete,local_script_parse_and_smoke_validation_passed,All 7 helper scripts parse; New-ModelRegistryRecord local smoke passed. Evidence: Plan/Instructions/QA/Evidence/Operations_Static_Validation/W60_OPERATIONS_STATIC_VALIDATION_20260706T004632-0500.json.
60,W60-011,Create operations schemas/templates,Plan/Instructions/Operations/Schemas; Plan/Instructions/Operations/Templates,complete,json_parse_validation_passed,All 5 operation schema/template JSON files parse. Evidence: Plan/Instructions/QA/Evidence/Operations_Static_Validation/W60_OPERATIONS_STATIC_VALIDATION_20260706T004632-0500.json.
