wave,item_id,title,description,evidence_path,implementation_status,qa_status,notes
63,ITEM-W63-001,Cost-control operating policy,Add explicit local/CI/EC2 runtime split and no-loop rules.,Plan/Instructions/Operations/EC2_COST_CONTROL_AND_LOCAL_DEV_RUNBOOK.md,completed,static_validation_passed,Prevents EC2 starts for work that can be prepared locally or in CI.
63,ITEM-W63-002,Local dev preflight helper,Check GPU memory local ComfyUI candidates model roots and selected-lane static validity without external contact.,Plan/Instructions/QA/Evidence/Runtime_Readiness/W61_LOCAL_COMFY_DEV_PREFLIGHT_RETEST_20260706T124824-0500.json,implemented,validation_passed,Local dev does not replace EC2 final proof; current local ComfyUI main.py is absent.
63,ITEM-W63-003,Deploy bundle helper,Package lane files run package registry metadata and safe runtime context while EC2 is off.,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_EC2_DEPLOY_BUNDLE_VALIDATION_20260706T124907-0500.json,implemented,validation_passed,Bundle output is gitignored under runtime_artifacts/deploy_bundles.
63,ITEM-W63-004,GitHub Actions preflight package,Run model registry coverage package build and deploy bundle upload on GitHub-hosted Windows runner.,.github/workflows/preflight-package.yml,implemented,ci_runtime_pending,Uses checkout with lfs=false and artifact retention 7 days.
63,ITEM-W63-005,Skip LFS by default on EC2,Make Git LFS pull opt-in for EC2 helpers.,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W60_OPERATIONS_HELPER_REALVISXL_MISSING_MODEL_CLASSIFICATION_20260706T124103-0500.json,implemented,local_validation_passed,Use -SkipGitLfsPull unless a lane explicitly needs repo LFS payloads.
63,ITEM-W63-006,Runtime TTL guardrails,Add max runtime minutes and SSM command timeout/cancel handling to EC2 helpers.,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W60_OPERATIONS_HELPER_REALVISXL_MISSING_MODEL_CLASSIFICATION_20260706T124103-0500.json,implemented,local_validation_passed,Live proof still must stop EC2 and verify final state.
63,ITEM-W63-007,Queue current-lane transition,Move from completed low-risk proof lane to current RealVisXL runtime lane without hardcoding order-one gating.,Plan/Instructions/QA/Evidence/Runtime_Readiness/W63_RUNTIME_UNBLOCK_HANDOFF_REALVISXL_CURRENT_20260706T131300-0500.json,implemented,validation_passed,Prevents autonomous loops that keep trying to re-run the completed low-risk lane.
63,ITEM-W63-008,S3 deploy bundle publishing,Add optional GitHub Actions S3 upload plus local S3 publish helper for prepared deploy bundles.,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_OPERATIONS_HELPER_S3_TRANSFER_READINESS_FINAL_20260706T142956-0500.json,implemented,local_validation_passed,EC2 helpers should prefer verified S3 bundle zip over git pull when available.
63,ITEM-W63-009,EC2 deploy bundle S3 consumption,Add -DeployBundleS3Uri and -DeployBundleSha256 to static proof and smoke helpers.,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_OPERATIONS_HELPER_S3_TRANSFER_READINESS_FINAL_20260706T142956-0500.json,implemented,local_validation_passed,Reduces EC2-on sync time and keeps Git LFS off the GPU clock.
63,ITEM-W63-010,RealVisXL S3 model installer,Install the missing checkpoint from S3 into EC2 ComfyUI and verify SHA256 in one bounded window.,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_OPERATIONS_HELPER_S3_TRANSFER_READINESS_FINAL_20260706T142956-0500.json,implemented,local_validation_passed,Do not use Git or Git LFS for model binaries.
63,ITEM-W63-011,Emergency stop safety net,Add EventBridge Scheduler emergency stop and instance-side watchdog helpers.,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_OPERATIONS_HELPER_S3_TRANSFER_READINESS_FINAL_20260706T142956-0500.json,implemented,local_validation_passed,Protects against hung runtime windows leaving EC2 running.
63,ITEM-W63-012,AWS least privilege templates,Add S3 GitHub OIDC EC2 runtime and scheduler stop role policy templates.,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_S3_RUNTIME_TRANSFER_READINESS_20260706T142504-0500.json,implemented,config_blocked_until_values_set,Templates are valid placeholders; apply real bucket prefix and role values before live transfer.
63,ITEM-W63-013,Local ComfyUI dev start helper,Add low-VRAM local ComfyUI startup helper for prompt and workflow iteration.,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_OPERATIONS_HELPER_S3_TRANSFER_READINESS_FINAL_20260706T142956-0500.json,implemented,local_validation_passed,Local dev reduces EC2 starts but never replaces final EC2 proof.
