wave,tracker_id,deliverable,implementation_status,qa_status,evidence_path,remaining_runtime_validation
63,TRK-W63-001,EC2 cost-control runbook,completed,static_validation_passed,Plan/Instructions/Operations/EC2_COST_CONTROL_AND_LOCAL_DEV_RUNBOOK.md,Keep updated after each runtime architecture change.
63,TRK-W63-002,Local ComfyUI development preflight,implemented,validation_passed,Plan/Instructions/QA/Evidence/Runtime_Readiness/W61_LOCAL_COMFY_DEV_PREFLIGHT_RETEST_20260706T124824-0500.json,Run with local ComfyUI path before using local generation as a dev lane.
63,TRK-W63-003,GitHub Actions preflight/package workflow,implemented,ci_runtime_pending,.github/workflows/preflight-package.yml,First GitHub-hosted workflow run must pass and upload artifact.
63,TRK-W63-004,Deploy bundle builder,implemented,validation_passed,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_EC2_DEPLOY_BUNDLE_VALIDATION_20260706T124907-0500.json,Later wire S3 download preference when bucket policy is chosen.
63,TRK-W63-005,EC2 helper TTL and LFS cost controls,implemented,local_validation_passed,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W60_OPERATIONS_HELPER_REALVISXL_MISSING_MODEL_CLASSIFICATION_20260706T124103-0500.json,Live EC2 validation only after auth and Git gates pass.
63,TRK-W63-006,Spot and hibernation evaluation,deferred,not_started,Plan/Instructions/Operations/EC2_COST_CONTROL_AND_LOCAL_DEV_RUNBOOK.md,Revisit only after stable bundle/S3/runtime pipeline.
63,TRK-W63-007,Current runtime lane queue transition,implemented,validation_passed,Plan/Instructions/QA/Evidence/Runtime_Readiness/W63_RUNTIME_UNBLOCK_HANDOFF_REALVISXL_CURRENT_20260706T131300-0500.json,Continue only after RealVisXL checkpoint is installed/synced and SHA256 is verified.
63,TRK-W63-008,S3 deploy bundle upload and EC2 bundle preference,implemented,local_validation_passed,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_COST_CONTROL_TERMINAL_STATE_VALIDATION_20260706T140909-0500.json,Actions can optionally upload bundles to S3 and EC2 helpers can consume verified S3 bundle zips.
63,TRK-W63-009,RealVisXL non-Git S3 model provisioning,implemented,local_validation_passed,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_COST_CONTROL_TERMINAL_STATE_VALIDATION_20260706T140909-0500.json,Use S3 model cache and SHA256 verification instead of Git LFS for checkpoint provisioning.
63,TRK-W63-010,S3 IAM and scheduler policy templates,implemented,json_validation_passed,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_COST_CONTROL_TERMINAL_STATE_VALIDATION_20260706T140909-0500.json,Apply placeholders in AWS before live S3 bundle model or artifact transfer.
63,TRK-W63-011,EC2 emergency stop and watchdog controls,implemented,local_validation_passed,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_COST_CONTROL_TERMINAL_STATE_VALIDATION_20260706T140909-0500.json,Use cloud-side schedule plus optional instance-side watchdog for bounded live EC2 windows.
63,TRK-W63-012,Local ComfyUI dev activation helper,implemented,local_validation_passed,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W63_COST_CONTROL_TERMINAL_STATE_VALIDATION_20260706T140909-0500.json,Start local low-VRAM dev server when a real local ComfyUI checkout is available.
63,TRK-W63-013,RealVisXL runtime smoke pullback and QA,implemented,runtime_smoke_qa_passed,Plan/Instructions/QA/Evidence/Image_Artifact_QA/W63_REALVISXL_IMAGE_QA_VISUAL_20260706T140120-0500.json,Broaden to multi-sample certification only if image-quality certification is the next explicit goal.
