wave,item_id,title,description,evidence_path,implementation_status,qa_status,notes
61,ITEM-W61-001,Strict autonomous QA master protocol,"Define mandatory QA lifecycle, severity system, evidence rules, and completion guardrails.",Plan/Instructions/QA/STRICT_AUTONOMOUS_QA_MASTER_PROTOCOL.md,completed,static_validation_pass,Live usage begins when Codex applies this to actual tasks.
61,ITEM-W61-002,Image generation visual review protocol,Provide strict image realism/anatomy/compliance review criteria.,Plan/Instructions/QA/IMAGE_GENERATION_VISUAL_REVIEW_PROTOCOL.md; Plan/Instructions/QA/Evidence/Image_Artifact_QA/W61_IMAGE_QA_DRY_RUN_20260706T030037-0500.json,completed_plus_helper,image_qa_helper_dry_run_pass_pending_artifact,Image QA protocol exists and helper dry-run passed; actual visual review awaits pulled-back generated image.
61,ITEM-W61-003,Video generation review protocol,Provide temporal consistency and motion realism review criteria.,Plan/Instructions/QA/VIDEO_GENERATION_REVIEW_PROTOCOL.md,completed,static_validation_pass,Awaiting runtime application on generated videos.
61,ITEM-W61-004,Audio generation review protocol,Provide speech/audio technical and content review criteria.,Plan/Instructions/QA/AUDIO_GENERATION_REVIEW_PROTOCOL.md,completed,static_validation_pass,Awaiting runtime application on generated audio.
61,ITEM-W61-005,Multimodal artifact review scorecard,Standardize cross-modality scoring and approval logic.,Plan/Instructions/QA/MULTIMODAL_ARTIFACT_REVIEW_SCORECARD.md,completed,static_validation_pass,To be filled in during actual reviews.
61,ITEM-W61-006,ComfyUI workflow testing protocol,"Define workflow static inspection, runtime validation, and reproducibility checks.",Plan/Instructions/QA/Evidence/EC2_Runtime_Inventory/W60_W61_EC2_RUNTIME_INVENTORY_20260706T020209-0500.json; Plan/Instructions/QA/Evidence/Workflow_Prerequisite_Matching/W61_WORKFLOW_LANE_SELECTION_20260706T024025-0500.json; Plan/Instructions/QA/Evidence/Workflow_Static_Validation/W61_SDXL_LOW_RISK_WORKFLOW_STATIC_VALIDATION_20260706T024811-0500.json; Plan/Instructions/QA/Evidence/Workflow_Static_Validation/W61_COMFY_WORKFLOW_SMOKE_DRY_RUN_20260706T025536-0500.json; Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_W61_AWS_AUTH_GATE_20260706T031007-0500.json; Plan/Instructions/QA/Evidence/Runtime_Readiness/W61_LANE_RUNTIME_READINESS_20260706T032345-0500.json,partial_runtime_application,local_pre_ec2_ready_pending_auth_and_static_proof,Selected sdxl_low_risk_fallback_lane authored executable workflow files passed local static graph validation smoke dry-run and local runtime readiness gate; runtime execution and generated artifact QA remain pending after AWS browser login refresh.
61,ITEM-W61-007,Model/LoRA/checkpoint validation protocol,"Define integrity, compatibility, load, and sample-output validation.",Plan/Instructions/QA/Evidence/EC2_Runtime_Inventory/W60_W61_EC2_RUNTIME_INVENTORY_20260706T020209-0500.json; Plan/Instructions/QA/Evidence/Workflow_Prerequisite_Matching/W61_WORKFLOW_LANE_SELECTION_20260706T024025-0500.json; Plan/Instructions/QA/Evidence/Workflow_Static_Validation/W61_SDXL_LOW_RISK_WORKFLOW_STATIC_VALIDATION_20260706T024811-0500.json; Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_W61_AWS_AUTH_GATE_20260706T031007-0500.json; Plan/Instructions/QA/Evidence/Runtime_Readiness/W61_LANE_RUNTIME_READINESS_20260706T032345-0500.json,partial_runtime_application,model_reference_static_pass_hash_pending_aws_auth,Selected SDXL checkpoint filename is referenced by the workflow and local readiness gate passed; EC2 path hash load and sample-output validation remain pending after AWS browser login refresh.
61,ITEM-W61-008,Prompt/negative prompt QA protocol,"Define prompt clarity, contradiction, contamination, and test-output evaluation.",Plan/Instructions/QA/PROMPT_NEGATIVE_PROMPT_QA_PROTOCOL.md,completed,static_validation_pass,Prompt approval still needs representative runs when used.
61,ITEM-W61-009,Failure classification and retest protocol,Prevent looping and require disciplined retry tracking.,Plan/Instructions/QA/FAILURE_CLASSIFICATION_AND_RETEST_PROTOCOL.md,completed,static_validation_pass,Applies on first runtime failure onward.
61,ITEM-W61-010,Done certification and evidence protocol,Define final completion gate and evidence bundle requirements.,Plan/Instructions/QA/DONE_CERTIFICATION_EVIDENCE_PROTOCOL.md,completed,static_validation_pass,Required before marking future work done.
61,ITEM-W61-011,QA templates/schemas/scripts,"Provide reusable QA records, checklists, schemas, and helper scripts.",Plan/Instructions/QA/Evidence/QA_Helper_Static_Validation/W61_QA_HELPER_STATIC_VALIDATION_20260706T005111-0500.json,complete,qa_passed,Local scripts/templates/schemas validated; sample QA record and done certification generated under QA evidence.
